fdc_id,description
790508,"Butter, stick, salted"
789828,"Butter, stick, unsalted"
2259792,"Buttermilk, low fat"
747429,"Cheese, American, restaurant"
328637,"Cheese, cheddar"
2647443,"Cheese, cotija, solid"
328841,"Cheese, cottage, lowfat, 2% milkfat"
746765,"Cheese, dry white, queso seco"
2259796,"Cheese, feta, whole milk, crumbled"
2647438,"Cheese, monterey jack, solid"
329370,"Cheese, mozzarella, low moisture, part-skim"
2647441,"Cheese, oaxaca, solid"
325036,"Cheese, parmesan, grated"
2259795,"Cheese, parmesan, grated, refrigerated"
325198,"Cheese, pasteurized process, American, vitamin D fortified"
2647440,"Cheese, provolone, sliced"
2647442,"Cheese, queso fresco, solid"
746766,"Cheese, ricotta, whole milk"
746767,"Cheese, swiss"
2346384,"Cottage cheese, full fat, large or small curd"
2346386,"Cream, heavy"
2346387,"Cream, sour, full fat"
2346385,"Cream cheese, full fat, block"
746772,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D"
746776,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)"
746778,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D"
322892,"Milk, whole, 3.25% milkfat, with added vitamin D"
746782,"Milk, whole, 3.25% milkfat, with added vitamin D"
330137,"Yogurt, Greek, plain, nonfat"
2259794,"Yogurt, Greek, plain, whole milk"
330415,"Yogurt, Greek, strawberry, nonfat"
2647437,"Yogurt, plain, nonfat"
2259793,"Yogurt, plain, whole milk"
