,nutrient_id,nut_name_list,nut_amt,nut_unit
0,1051,Water,69.9,G
1,1085,Total fat (NLEA),5.23,G
2,1004,Total lipid (fat),5.95,G
3,1258,Saturated fat,1.6,G
4,1292,"Fatty acids, total monounsaturated",2.35,G
5,1293,"Fatty acids, total polyunsaturated",1.24,G
6,1257,Trans fat,0.03,G
7,1253,Cholesterol,127.0,MG
8,1093,Sodium,117.0,MG
9,1005,"Carbohydrate, by difference",0.0,G
10,1050,"Carbohydrate, by summation",0.0,
11,1079,"Fiber, total dietary",0.0,
12,1063,"Sugars, total",0.0,
13,1002,Nitrogen,3.83,G
14,1003,Protein,23.9,G
15,1106,"Vitamin A, RAE",7.0,UG
16,1162,Vitamin C (total ascorbic acid),0.0,
17,1114,Vitamin D,0.1,UG
18,1109,Vitamin E (alpha-tocopherol),0.17,MG
19,1183,Vitamin K (Menaquinone-4),0.0,
20,1184,Vitamin K (Dihydrophylloquinone),0.0,
21,1185,Vitamin K (phylloquinone),0.0,
22,1165,Vitamin B1 (thiamin),0.088,MG
23,1166,Vitamin B2 (riboflavin),0.18,MG
24,1167,Vitamin B3 (niacin),5.05,MG
25,1170,Vitamin B5 (pantothenic acid),1.1,MG
26,1175,Vitamin B6 (pyridoxine),0.372,MG
27,1176,Vitamin B7 (biotin),0.0,
28,1177,Vitamin B9 (folate),0.0,
29,1178,Vitamin B12 (cobalamin),0.41,UG
30,1087,Calcium,12.0,MG
31,1091,Phosphorus,184.0,MG
32,1092,Potassium,239.0,MG
33,1088,Chloride,0.0,
34,1090,Magnesium,22.4,MG
35,1089,Iron,0.94,MG
36,1095,Zinc,2.54,MG
37,1100,Iodine,0.0,
38,1094,Sulfur,0.0,
39,1097,Cobalt,0.0,
40,1098,Copper,0.063,MG
41,1099,Fluoride,0.0,
42,1101,Manganese,0.018,MG
43,1103,Selenium,27.9,UG
